#	ell			Dell			sigma(Dell)
   600.500000000000        2239.86526051663        62.3628382082981     
   650.500000000000        1865.65468825474        50.0939685515086     
   700.500000000000        1869.85742165441        47.3606070671671     
   750.500000000000        2260.78836035811        51.0716158097790     
   800.500000000000        2471.35655820998        52.5829921980516     
   850.500000000000        2405.10390631550        49.9459600934615     
   900.500000000000        1891.66963230838        39.6672216549292     
   950.500000000000        1330.69520696748        29.7935293526479     
   1000.50000000000        1099.71725505640        23.6088942548468     
   1050.50000000000        1090.96856420808        23.9250472986401     
   1100.50000000000        1224.24648613835        23.6792429204541     
   1150.50000000000        1229.73533337413        23.2994078242028     
   1200.50000000000        1026.99313003771        20.2609514393660     
   1250.50000000000        841.889907376787        17.1272447931163     
   1300.50000000000        725.511381201305        15.0248519056764     
   1350.50000000000        772.428502111966        14.9436436200393     
   1400.50000000000        828.633680668782        15.1232061835440     
   1450.50000000000        817.247095162161        14.3144455061505     
   1500.50000000000        689.801823061638        13.1931017758383     
   1550.50000000000        530.699896884253        11.0718189087324     
   1600.50000000000        444.566910927008        9.18799220576624     
   1650.50000000000        394.214914985764        8.59777898422898     
   1700.50000000000        398.790539767267        8.32389944808341     
   1750.50000000000        394.954760652164        8.28897208554664     
   1800.50000000000        355.962310135694        7.94887770793996     
   1850.50000000000        314.707814938649        6.97716306299480     
   1900.50000000000        256.756467378950        6.11885722524293     
   1950.50000000000        250.932084763640        5.95381283747043     
   2000.50000000000        230.154770674315        5.74860013703827     
   2075.50000000000        218.807646797333        3.79139064171334     
   2175.50000000000        158.616410018736        3.18615741710717     
   2275.50000000000        117.492433533232        2.65696805289076     
   2375.50000000000        108.621035833395        2.48981527065039     
   2475.50000000000        85.7509118436290        2.25549123196483     
   2625.50000000000        63.5790405847940        1.40953184878934     
   2825.50000000000        41.1938352855848        1.21875208514577     
   3025.50000000000        24.8135449107389        1.11039953921316     
   3325.50000000000        13.3181479068769       0.784700082585652     
   3725.50000000000        3.97426458124901       0.780393052725604     
   4125.50000000000       0.617589699213826       0.797907133383554
